りこう | rikou | clever; intelligent; wise; bright; sharp | [sound:ic_nrkt_rikou.mp3]
りゅうがく | ryuugaku | studying abroad | [sound:ic_nrkt_ryuugaku.mp3]
さくひん | sakuhin | work of art; performance | [sound:ic_nrkt_sakuhin.mp3]
さゆう | sayuu | left and right | [sound:ic_nrkt_sayuu.mp3]
せいちょう | seichou | growth; development; growing up; becoming an adult | [sound:ic_nrkt_seichou.mp3]
せいひん | seihin | manufactured goods; finished goods; product | [sound:ic_nrkt_seihin.mp3]
せいねん | seinen | youth; young man | [sound:ic_nrkt_seinen.mp3]
しげき | shigeki | stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill | [sound:ic_nrkt_shigeki.mp3]
しほん | shihon | funds; capital | [sound:ic_nrkt_shihon.mp3]
しな | shina | article; item; thing; goods; stock; quality | [sound:ic_nrkt_shina.mp3]
しんちょう | shinchou | body height; stature | [sound:ic_nrkt_shinchou.mp3]
しんがく | shingaku | entering a higher-level school (often university) | [sound:ic_nrkt_shingaku.mp3]
してん | shiten | branch office; branch store​ | [sound:ic_nrkt_shiten.mp3]
しよう | shiyou | use; application; employment; utilization. | [sound:ic_nrkt_shiyou.mp3]
しょくひん | shokuhin | food; food products | [sound:ic_nrkt_shokuhin.mp3]
しょもつ | shomotsu | book; volume | [sound:ic_nrkt_shomotsu.mp3]
しょるい | shorui | document; official papers | [sound:ic_nrkt_shorui.mp3]
しょさい | shosai | study; library; den; home office; reading room | [sound:ic_nrkt_shosai.mp3]
しょうばい | shoubai | trade; business; commerce; transaction; occupation | [sound:ic_nrkt_shoubai.mp3]
しょうがくきん | shougakukin | scholarship; stipend; student loan | [sound:ic_nrkt_shougakukin.mp3]
しょうご | shougo | midday | [sound:ic_nrkt_shougo.mp3]
しょうひん | shouhin | commodity; article of commerce; goods; stock; merchandise | [sound:ic_nrkt_shouhin.mp3]
しょうじょ | shoujo | little girl; maiden; young lady | [sound:ic_nrkt_shoujo.mp3]
しょうめい | shoumei | proof; verification; certification | [sound:ic_nrkt_shoumei.mp3]
しょうねん | shounen | boy; juvenile; young boy; youth; lad | [sound:ic_nrkt_shounen.mp3]
しょうしょう | shoushou | just a minute; small quantity | [sound:ic_nrkt_shoushou.mp3]
しょうたい | shoutai | invitation | [sound:ic_nrkt_shoutai.mp3]
しゅう | shuu | week | [sound:ic_nrkt_shuu.mp3]
しゅうちゅう | shuuchuu | concentration; focusing; centralization; integration | [sound:ic_nrkt_shuuchuu.mp3]
しゅうだん | shuudan | group; mass | [sound:ic_nrkt_shuudan.mp3]
しゅうかく | shuukaku | harvest; crop; fruits (of one's labors) | [sound:ic_nrkt_shuukaku.mp3]
しゅうかん | shuukan | week | [sound:ic_nrkt_shuukan.mp3]
しゅうかん | shuukan | weekly publication | [sound:ic_nrkt_shuukan.mp3]
しゅうにゅう | shuunyuu | income; receipts; revenue; salary | [sound:ic_nrkt_shuunyuu.mp3]
そくど | sokudo | speed; velocity; pace; rate | [sound:ic_nrkt_sokudo.mp3]
たいはん | taihan | majority; more than half; most; largely; mainly | [sound:ic_nrkt_taihan.mp3]
たいかい | taikai | convention; rally; conference; tournament; | [sound:ic_nrkt_taikai.mp3]
たしょう | tashou | more or less; somewhat; a little; a few; some | [sound:ic_nrkt_tashou.mp3]
てじな | tejina | magic trick; illusion | [sound:ic_nrkt_tejina.mp3]
てつがく | tetsugaku | philosophy | [sound:ic_nrkt_tetsugaku.mp3]
てつや | tetsuya | staying up all night | [sound:ic_nrkt_tetsuya.mp3]
とち | tochi | plot of land; lot; soil | [sound:ic_nrkt_tochi.mp3]
とかい | tokai | (big) city | [sound:ic_nrkt_tokai.mp3]
としょ | tosho | books | [sound:ic_nrkt_tosho.mp3]
